data from https://data.oecd.org/interest/long-term-interest-rates.htm#indicator-chart,,,,,,,
LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,LTINT,TOT,PC_PA,M,1987-06,12.8,
AUS,LTINT,TOT,PC_PA,M,1987-07,12.95,
AUS,LTINT,TOT,PC_PA,M,1987-08,12.95,
AUS,LTINT,TOT,PC_PA,M,1987-09,12.5,
AUS,LTINT,TOT,PC_PA,M,1987-10,13.65,
AUS,LTINT,TOT,PC_PA,M,1987-11,13.3,
AUS,LTINT,TOT,PC_PA,M,1987-12,12.85,
AUS,LTINT,TOT,PC_PA,M,1988-01,12.4,
AUS,LTINT,TOT,PC_PA,M,1988-02,12.3,
AUS,LTINT,TOT,PC_PA,M,1988-03,11.9,
AUS,LTINT,TOT,PC_PA,M,1988-04,11.5,
AUS,LTINT,TOT,PC_PA,M,1988-05,12.3,
AUS,LTINT,TOT,PC_PA,M,1988-06,11.95,
AUS,LTINT,TOT,PC_PA,M,1988-07,11.95,
AUS,LTINT,TOT,PC_PA,M,1988-08,11.8,
AUS,LTINT,TOT,PC_PA,M,1988-09,11.95,
AUS,LTINT,TOT,PC_PA,M,1988-10,11.9,
AUS,LTINT,TOT,PC_PA,M,1988-11,12.35,
AUS,LTINT,TOT,PC_PA,M,1988-12,12.95,
AUS,LTINT,TOT,PC_PA,M,1989-01,13.3,
AUS,LTINT,TOT,PC_PA,M,1989-02,13.65,
AUS,LTINT,TOT,PC_PA,M,1989-03,13.65,
AUS,LTINT,TOT,PC_PA,M,1989-04,13.4,
AUS,LTINT,TOT,PC_PA,M,1989-05,13.9,
AUS,LTINT,TOT,PC_PA,M,1989-06,13.5,
AUS,LTINT,TOT,PC_PA,M,1989-07,13.35,
AUS,LTINT,TOT,PC_PA,M,1989-08,12.95,
AUS,LTINT,TOT,PC_PA,M,1989-09,13.65,
AUS,LTINT,TOT,PC_PA,M,1989-10,13.55,
AUS,LTINT,TOT,PC_PA,M,1989-11,13.1,
AUS,LTINT,TOT,PC_PA,M,1989-12,12.9,
AUS,LTINT,TOT,PC_PA,M,1990-01,12.8,
AUS,LTINT,TOT,PC_PA,M,1990-02,13.3,
AUS,LTINT,TOT,PC_PA,M,1990-03,13.44,
AUS,LTINT,TOT,PC_PA,M,1990-04,13.78,
AUS,LTINT,TOT,PC_PA,M,1990-05,13.51,
AUS,LTINT,TOT,PC_PA,M,1990-06,13.4,
AUS,LTINT,TOT,PC_PA,M,1990-07,13.16,
AUS,LTINT,TOT,PC_PA,M,1990-08,13.49,
AUS,LTINT,TOT,PC_PA,M,1990-09,13.63,
AUS,LTINT,TOT,PC_PA,M,1990-10,13.35,
AUS,LTINT,TOT,PC_PA,M,1990-11,12.23,
AUS,LTINT,TOT,PC_PA,M,1990-12,12.07,
AUS,LTINT,TOT,PC_PA,M,1991-01,11.52,
AUS,LTINT,TOT,PC_PA,M,1991-02,11.53,
AUS,LTINT,TOT,PC_PA,M,1991-03,11.38,
AUS,LTINT,TOT,PC_PA,M,1991-04,10.98,
AUS,LTINT,TOT,PC_PA,M,1991-05,10.75,
AUS,LTINT,TOT,PC_PA,M,1991-06,11.17,
AUS,LTINT,TOT,PC_PA,M,1991-07,10.99,
AUS,LTINT,TOT,PC_PA,M,1991-08,10.67,
AUS,LTINT,TOT,PC_PA,M,1991-09,10.31,
AUS,LTINT,TOT,PC_PA,M,1991-10,9.82,
AUS,LTINT,TOT,PC_PA,M,1991-11,9.78,
AUS,LTINT,TOT,PC_PA,M,1991-12,9.39,
AUS,LTINT,TOT,PC_PA,M,1992-01,10.11,
AUS,LTINT,TOT,PC_PA,M,1992-02,10.04,
AUS,LTINT,TOT,PC_PA,M,1992-03,9.89,
AUS,LTINT,TOT,PC_PA,M,1992-04,9.43,
AUS,LTINT,TOT,PC_PA,M,1992-05,9.12,
AUS,LTINT,TOT,PC_PA,M,1992-06,8.9,
AUS,LTINT,TOT,PC_PA,M,1992-07,8.3,
AUS,LTINT,TOT,PC_PA,M,1992-08,8.97,
AUS,LTINT,TOT,PC_PA,M,1992-09,8.94,
AUS,LTINT,TOT,PC_PA,M,1992-10,8.86,
AUS,LTINT,TOT,PC_PA,M,1992-11,9.14,
AUS,LTINT,TOT,PC_PA,M,1992-12,8.94,
AUS,LTINT,TOT,PC_PA,M,1993-01,8.6,
AUS,LTINT,TOT,PC_PA,M,1993-02,7.98,
AUS,LTINT,TOT,PC_PA,M,1993-03,7.82,
AUS,LTINT,TOT,PC_PA,M,1993-04,7.55,
AUS,LTINT,TOT,PC_PA,M,1993-05,7.71,
AUS,LTINT,TOT,PC_PA,M,1993-06,7.37,
AUS,LTINT,TOT,PC_PA,M,1993-07,6.88,
AUS,LTINT,TOT,PC_PA,M,1993-08,6.64,
AUS,LTINT,TOT,PC_PA,M,1993-09,6.84,
AUS,LTINT,TOT,PC_PA,M,1993-10,6.49,
AUS,LTINT,TOT,PC_PA,M,1993-11,6.81,
AUS,LTINT,TOT,PC_PA,M,1993-12,6.68,
AUS,LTINT,TOT,PC_PA,M,1994-01,6.36,
AUS,LTINT,TOT,PC_PA,M,1994-02,7.05,
AUS,LTINT,TOT,PC_PA,M,1994-03,7.95,
AUS,LTINT,TOT,PC_PA,M,1994-04,8.44,
AUS,LTINT,TOT,PC_PA,M,1994-05,8.79,
AUS,LTINT,TOT,PC_PA,M,1994-06,9.63,
AUS,LTINT,TOT,PC_PA,M,1994-07,9.57,
AUS,LTINT,TOT,PC_PA,M,1994-08,9.36,
AUS,LTINT,TOT,PC_PA,M,1994-09,10.33,
AUS,LTINT,TOT,PC_PA,M,1994-10,10.51,
AUS,LTINT,TOT,PC_PA,M,1994-11,10.47,
AUS,LTINT,TOT,PC_PA,M,1994-12,10.04,
AUS,LTINT,TOT,PC_PA,M,1995-01,10.3345,
AUS,LTINT,TOT,PC_PA,M,1995-02,10.1465,
AUS,LTINT,TOT,PC_PA,M,1995-03,10.13783,
AUS,LTINT,TOT,PC_PA,M,1995-04,9.798823,
AUS,LTINT,TOT,PC_PA,M,1995-05,9.106087,
AUS,LTINT,TOT,PC_PA,M,1995-06,8.856191,
AUS,LTINT,TOT,PC_PA,M,1995-07,9.081904,
AUS,LTINT,TOT,PC_PA,M,1995-08,9.124348,
AUS,LTINT,TOT,PC_PA,M,1995-09,8.686191,
AUS,LTINT,TOT,PC_PA,M,1995-10,8.508636,
AUS,LTINT,TOT,PC_PA,M,1995-11,8.495,
AUS,LTINT,TOT,PC_PA,M,1995-12,8.254737,
AUS,LTINT,TOT,PC_PA,M,1996-01,8.112381,
AUS,LTINT,TOT,PC_PA,M,1996-02,8.248571,
AUS,LTINT,TOT,PC_PA,M,1996-03,8.808095,
AUS,LTINT,TOT,PC_PA,M,1996-04,8.873684,
AUS,LTINT,TOT,PC_PA,M,1996-05,8.832174,
AUS,LTINT,TOT,PC_PA,M,1996-06,8.931579,
AUS,LTINT,TOT,PC_PA,M,1996-07,8.629565,
AUS,LTINT,TOT,PC_PA,M,1996-08,8.04,
